Attaching to aeo_svdc-aeo_svdc-1
aeo_svdc-aeo_svdc-1  | Starting Process AEO_SVDC
aeo_svdc-aeo_svdc-1  | Included utility Inspector
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:11Z Information : AEOrdering : AEOrdering::init
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:11Z Information : AEOrdering : AEOrdering::SystemSpec.ConfigUpdated
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::JobType.loadEventTypes
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::JobType.loadEventTypes
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/00
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/01
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/02
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/03
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/04
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/05
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/06
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/07
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/08
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/09
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/0A
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/0B
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/0C
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/0D
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/0E
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/0F
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/10
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/11
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING CURRENTJOBGROUP = 11
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::SELECTED FILE = a32be574-29f5-48b8-9e44-eaa9453449f8
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AEReception::Reception.parsing
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::AcceptEvent - jobId = 857b9504-e013-4083-a20d-455d5c92e611, auditEventType = RequestFile, auditEventId = 95accbc3-2c37-4536-affa-ddf5823cde68
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::AuditEvent.createAuditEvent
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::AuditEvent.setEventState
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::Node.validEvent
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::ReportedAuditEvent.reportEvent
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : New Job started - jobId = 857b9504-e013-4083-a20d-455d5c92e611, Initial audit event = RequestFile
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::AcceptEvent - jobId = 857b9504-e013-4083-a20d-455d5c92e611, auditEventType = PacketiseFile, auditEventId = 0ebf3b4a-ef02-49c3-87ed-e350c182a459
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::AuditEvent.createAuditEvent
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::AuditEvent.setEventState
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::Node.validEvent
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::ReportedAuditEvent.reportEvent
